name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_2x2_enu2_cov3_low3.00000_0.208,0.05,0.5,0.4,0.2,0.2,0.2,0,0.049,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,39.44,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.00022_0.020,0.05,0.5,0.4,0.6,0.6,0.4,1,0.5367,unsat,11.67,unsat,5.81,unsat,1473.83,unsat,1433.07,unsat,63.88,unsat,8041.11,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.01120_0.088,0.05,0.75,0.6000000000000001,0.6,0.2,0.6,0,0.0661,unknown,14400,unknown,14400,unknown,14400,unsat,406.49,timeout,14400,unsat,2428.96,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.02001_0.091,0.05,1.0,0.4,0.2,0.4,0.6,1,0.0441,unknown,14400,unknown,14400,error,14400,unknown,14400,sat,20.3,error,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.02012_0.057,0.05,1.0,0.4,0.4,0.6,0.4,2,0.419,unknown,14400,unsat,8.34,memout,14400,unsat,381.66,timeout,14400,error,14400,unsat,5497.06,error,14400,unsup,14400
dave_2x2_enu2_cov3_low3.02020_0.037,0.05,1.0,0.4,0.6,0.2,0.4,1,0.0438,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,46.43,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.02200_0.270,0.05,1.0,0.8,0.2,0.2,0.4,1,0.0378,unknown,14400,unknown,14400,error,14400,unknown,14400,sat,33.41,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.10011_0.088,0.1,0.5,0.4,0.4,0.4,0.6,2,0.0582,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,70.11,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.10102_0.144,0.1,0.5,0.6000000000000001,0.2,0.6,0.4,1,0.0598,unknown,14400,unknown,14400,error,14400,unknown,14400,sat,43.0,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.10220_0.113,0.1,0.5,0.8,0.6,0.2,0.2,1,0.0292,unknown,14400,unknown,14400,error,14400,unknown,14400,sat,149.99,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.11021_0.073,0.1,0.75,0.4,0.6,0.4,0.2,1,0.0466,unknown,14400,unsat,29.54,error,14400,unsat,1096.34,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12002_0.181,0.1,1.0,0.4,0.2,0.6,0.2,2,0.0769,unsat,435.12,unsat,44.76,memout,14400,unsat,899.31,unsat,62.78,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.12100_0.437,0.1,1.0,0.6000000000000001,0.2,0.2,0.6,1,0.0127,unknown,14400,unknown,14400,error,14400,unknown,14400,sat,97.15,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20021_0.286,0.15,0.5,0.4,0.6,0.4,0.2,0,0.0288,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,297.95,timeout,14400,timeout,14400,timeout,14400,unsup,14400
dave_2x2_enu2_cov3_low3.20110_0.321,0.15,0.5,0.6000000000000001,0.4,0.2,0.6,1,0.0092,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,231.71,timeout,14400,timeout,14400,timeout,14400,unsup,14400
