name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_enu2_cov3_low3_pl2.00100_0.391,0.05,0.0,0.2,0.2,0.2,0.2,3,0.0485,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,23.47,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.00112_0.017,0.05,0.0,0.2,0.4,0.6,0.4,3,0.0732,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,23.33,sat,10004.48,unknown,14400,error,14400,unsup,14400
dave_enu2_cov3_low3_pl2.00120_0.126,0.05,0.0,0.2,0.6,0.2,0.4,4,0.054,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,79.12,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.00211_0.044,0.05,0.0,0.4,0.4,0.4,0.4,4,0.0565,unknown,14400,unknown,14400,memout,14400,unknown,14400,sat,33.23,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.00222_0.065,0.05,0.0,0.4,0.6,0.6,0.6,4,0.0516,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,68.99,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.01012_81.048,0.05,0.25,0.0,0.4,0.6,0.2,3,9.6187,timeout,14400,unsat,22.27,timeout,14400,memout,14400,unsat,242.1,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.01021_81.048,0.05,0.25,0.0,0.6,0.4,0.4,4,9.4937,timeout,14400,unknown,14400,timeout,14400,memout,14400,sat,548.23,timeout,14400,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.01022_40.925,0.05,0.25,0.0,0.6,0.6,0.6,3,9.7984,timeout,14400,unsat,39.44,timeout,14400,memout,14400,unsat,430.17,unsat,10374.63,timeout,14400,timeout,14400,timeout,14400
dave_enu2_cov3_low3_pl2.01110_0.017,0.05,0.25,0.2,0.4,0.2,0.4,4,0.0373,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,17.9,timeout,14400,unknown,14400,timeout,14400,unsup,14400
dave_enu2_cov3_low3_pl2.01201_0.122,0.05,0.25,0.4,0.2,0.4,0.2,3,0.0349,unknown,14400,unknown,14400,unknown,14400,unknown,14400,sat,14.84,error,14400,unknown,14400,timeout,14400,unsup,14400
