name,neu,fc,conv,idm,ids,eps,prop,relative_loss,eran_deepzono_answer,eran_deepzono_time,eran_deeppoly_answer,eran_deeppoly_time,eran_refinezono_answer,eran_refinezono_time,eran_refinepoly_answer,eran_refinepoly_time,neurify_answer,neurify_time,planet_answer,planet_time,bab_answer,bab_time,bab_sb_answer,bab_sb_time,reluplex_answer,reluplex_time
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.00323_0.086,0.05,0.5,1.0,0.6000000000000001,0.8,0.4,3,0.737329,unsat,20.0505,unsat,14.0023,unsat,293.0711,unsat,265.2427,unsat,93.7117,error,14400,unsat,5171.3462,unsat,6815.7164,unsup,14400
dave_neu_eps_1.01034_0.047,0.05,0.75,0.4,0.8,1.0,0.5,4,0.036022,unknown,14400,unknown,14400,error,14400,unknown,14400,error,14400,timeout,14400,timeout,14400,timeout,14400,unsup,14400
